Epoch	Total_Loss	Loss_a_p	Loss_v_p	Loss_a	Loss_v	Acc_Fusion	Acc_a_p	Acc_v_p	Acc_a	Acc_v	Precision	Recall	F1_Score	Ratio_a_p	Ratio_a
0	1.8101337552070618	0.7190301372454717	0.8115542714412396	0.7415432104697595	0.8279227385154138	0.6153846153846154	0.7692307692307693	0.38461538461538464	0.38461538461538464	0.6923076923076923	0.5833333333333333	0.575	0.5751633986928104	1.0082665131642268	1.0559769318653986
1	2.0506528982749352	0.6978506743907928	1.3779511956068187	0.8095252284636865	0.6700371366280776	0.7692307692307693	0.6153846153846154	0.6153846153846154	0.38461538461538464	0.6153846153846154	0.8636363636363636	0.7	0.706766917293233	1.0183500418296227	0.8828048155857966
2	2.3395647360728336	0.6426852666414701	2.056178542283865	0.8221094470757705	0.7207853152201726	0.6923076923076923	0.7692307692307693	0.6153846153846154	0.38461538461538464	0.5384615384615384	0.7023809523809523	0.7125	0.6904761904761905	1.0156795703447783	0.9135222251598651
3	1.1729904963419988	0.6078761128278879	0.6520325312247643	0.7816087557719305	0.864280492067337	0.7692307692307693	0.9230769230769231	0.7692307692307693	0.38461538461538464	0.5384615384615384	0.8636363636363636	0.7	0.706766917293233	1.061959867294018	1.0670911348783052
4	1.0149744290571947	0.43742507237654465	0.5275973723484919	0.6992636827322153	0.9315259915131789	0.7692307692307693	0.6923076923076923	0.6923076923076923	0.7692307692307693	0.46153846153846156	0.7619047619047619	0.775	0.7636363636363637	1.1656861580335176	1.1465059518814087
5	1.0920925438404083	0.43942210995233977	0.5922244328718919	0.6804927908457242	0.9854502013096442	0.8461538461538461	0.7692307692307693	0.6153846153846154	0.8461538461538461	0.38461538461538464	0.9	0.8	0.8194444444444444	1.1435740773494427	1.2375625371932983
6	0.8707087183227906	0.4688638729544786	0.41674939084511536	0.6721844489757831	1.1556808123221765	0.7692307692307693	0.7692307692307693	0.7692307692307693	0.6153846153846154	0.38461538461538464	0.8636363636363636	0.7	0.706766917293233	0.9849489101996789	1.4013774394989014
7	0.881081759929657	0.40921040165882844	0.3953748792409897	0.7058293039982135	1.179456380697397	0.7692307692307693	0.7692307692307693	0.7692307692307693	0.6153846153846154	0.38461538461538464	0.8636363636363636	0.7	0.706766917293233	1.0645388456491323	1.2805433135766249
8	1.0477351357157414	0.39553263726142734	0.5415318036595216	0.6690596640110016	0.9889537967168368	0.7692307692307693	0.7692307692307693	0.7692307692307693	0.6153846153846154	0.38461538461538464	0.8636363636363636	0.7	0.706766917293233	1.0631421987827008	1.2800905612798839
9	0.74868993805005	0.32827370484861046	0.4198161569925455	0.6980028267090137	0.9375569820404053	0.6923076923076923	0.7692307692307693	0.7692307692307693	0.6153846153846154	0.38461538461538464	0.675	0.675	0.675	1.0461696065389192	1.175673273893503
